target,direction,n_pairs,mean_placebo_abs,median_placebo_abs,max_placebo_abs,mean_abs_raw
B008,above_good,9,0.0055500550055005,0.0049504950495049,0.0136138613861386,112111.11111111112
B011,below_good,6,0.0158415841584158,0.0074257425742574,0.0579207920792079,320000.0
B012,below_good,7,0.2903111739745402,0.2301980198019802,1.0891089108910892,5864285.714285715
B036,above_good,4,0.0274752475247524,0.0198019801980198,0.0653465346534653,555000.0
B039,below_good,10,0.198019801980198,0.1237623762376237,0.495049504950495,4000000.0
B047,above_good,5,0.0148514851485148,0.0,0.0495049504950495,300000.0
