target,direction,causal_mean_signed,causal_mean_abs,causal_median_abs,causal_positive,causal_negative,causal_zero,n_pairs,mean_placebo_abs,median_placebo_abs,max_placebo_abs,mean_abs_raw,abs_signed_mean_over_placebo_mean_abs,mean_abs_causal_over_placebo_mean_abs
B008,above_good,0.0024862486248624725,0.005786578657865739,0.0057425742574257,6,2,1,9,0.0055500550055005505,0.0049504950495049506,0.013613861386138614,112111.11111111111,0.4479682854311174,1.042616451932598
B011,below_good,0.002062706270627067,0.002887788778877867,0.0012376237623762,2,1,3,6,0.015841584158415842,0.007425742574257425,0.057920792079207924,320000.0,0.1302083333333336,0.18229166666666533
B012,below_good,0.36421499292786425,0.6471004243281471,0.8910891089108911,5,2,0,7,0.29031117397454026,0.2301980198019802,1.0891089108910892,5864285.714285715,1.254567600487211,2.228989037758831
B036,above_good,0.02134900990099005,0.02134900990099005,0.005569306930693,3,0,1,4,0.027475247524752475,0.019801980198019802,0.06534653465346535,555000.0,0.7770270270270252,0.7770270270270252
B039,below_good,0.09405940594059406,0.31188118811881205,0.2722772277227725,4,4,2,10,0.19801980198019803,0.12376237623762376,0.49504950495049505,4000000.0,0.475,1.5750000000000008
B047,above_good,0.00495049504950496,0.01485148514851484,0.0,1,1,3,5,0.014851485148514854,0.0,0.04950495049504951,300000.0,0.3333333333333339,0.9999999999999991
