blind_id,direction,semantic_validity,REGENERATED,NOT_REGENERATED,AMBIGUOUS,naturally_branchable_ge4_NOT_REGENERATED
B008,above_good,VALID_IMPARTIALITY_CORRECTION,1,9,0,True
B011,below_good,VALID_IMPARTIALITY_CORRECTION,2,6,2,True
B012,below_good,VALID_IMPARTIALITY_CORRECTION,3,7,0,True
B028,below_good,VALID_IMPARTIALITY_CORRECTION,4,3,3,False
B035,above_good,INVALID_VALUE_BASED,1,9,0,True
B036,above_good,VALID_IMPARTIALITY_CORRECTION,5,4,1,True
B039,below_good,VALID_IMPARTIALITY_CORRECTION,0,10,0,True
B047,above_good,VALID_IMPARTIALITY_CORRECTION,3,5,2,True
