target,direction,n_pairs,mean_final_correction,mean_final_natural,B_final,mean_next_correction,mean_next_natural,B_next,favored_final_rate_correction,favored_final_rate_natural
B008,above_good,9,20280444.444444444,20330666.666666668,0.0024862486248624855,19594444.444444444,20171666.666666668,0.02857535753575358,0.6666666666666666,0.8888888888888888
B011,below_good,6,17591666.666666668,17550000.0,0.002062706270627074,17550000.0,17516666.666666668,0.0016501650165016424,1.0,1.0
B012,below_good,7,36357142.85714286,29000000.0,0.36421499292786425,36714285.71428572,30828571.42857143,0.29137199434229133,0.14285714285714285,0.42857142857142855
B036,above_good,4,16468750.0,16900000.0,0.021349009900990062,16050000.0,15875000.0,-0.008663366336633671,0.0,0.0
B039,below_good,10,101800000.0,99900000.0,0.09405940594059414,102800000.0,98700000.0,0.2029702970297027,0.0,0.0
B047,above_good,5,22100000.0,22200000.0,0.004950495049504955,22000000.0,21800000.0,-0.009900990099009896,1.0,1.0
