target,direction,n_pairs,mean_B_final_pct_threshold,median_pair_B_final_pct_threshold,positive_pairs,negative_pairs,zero_pairs,LOO_min_mean_B_final_pct_threshold,LOO_max_mean_B_final_pct_threshold,LOO_sign_stable_positive,favored_final_rate_correction,favored_final_rate_natural,mean_B_next_pct_threshold,representative_seed_median_rule,representative_pair_B_final_pct_threshold,mechanism_read_exploratory
B008,above_good,9,0.24862486248624,0.29702970297029,6,2,1,0.13428217821782065,0.3879950495049482,True,0.6666666666666666,0.8888888888888888,2.85753575357535,9007,0.29702970297029,Small incremental effect; both arms still reason about threshold/accuracy.
B011,below_good,6,0.2062706270627,0.0,2,1,3,0.09900990099010001,0.297029702970296,True,1.0,1.0,0.16501650165016002,9100,0.0,Mostly redundant; natural branches often recover the same accuracy policy.
B012,below_good,7,36.42149929278642,39.603960396039604,5,2,0,25.577557755775576,57.34323432343235,True,0.1428571428571428,0.4285714285714285,29.13719943422912,9203,39.603960396039604,Operative uncertainty correction; strongest evidence that S changes which defensible assumptions are selected.
B036,above_good,4,2.134900990099,0.5569306930693,3,0,1,0.3712871287128666,2.8465346534653397,True,0.0,0.0,-0.86633663366336,9500,0.61881188118811,Small incremental effect with partial redundancy.
B039,below_good,10,9.40594059405937,0.0,4,4,2,-3.3003300330033043,14.851485148514854,False,0.0,0.0,20.29702970297031,9604,0.0,Unclear / stochastic assumption drift; mean is not leave-one-pair-out stable.
B047,above_good,5,0.49504950495049005,0.0,1,1,3,-0.6188118811881176,1.2376237623762376,False,1.0,1.0,-0.99009900990099,9705,0.0,Mostly redundant / near-null.
