target,direction,n_pairs,mean_placebo_abs,median_placebo_abs,max_placebo_abs,mean_abs_raw
B008,above_good,9,0.0055500550055005505,0.0049504950495049506,0.013613861386138614,112111.11111111111
B011,below_good,6,0.015841584158415842,0.007425742574257425,0.057920792079207924,320000.0
B012,below_good,7,0.29031117397454026,0.2301980198019802,1.0891089108910892,5864285.714285715
B036,above_good,4,0.027475247524752475,0.019801980198019802,0.06534653465346535,555000.0
B039,below_good,10,0.19801980198019803,0.12376237623762376,0.49504950495049505,4000000.0
B047,above_good,5,0.014851485148514854,0.0,0.04950495049504951,300000.0
