target,n_pairs,mean_B_final_pct_threshold,median_pair_B_final_pct_threshold,positive_pairs,negative_pairs,zero_pairs,LOO_min_mean_B_final_pct_threshold,LOO_max_mean_B_final_pct_threshold
B008,9,0.24862486248624857,0.297029702970297,6,2,1,0.13428217821782173,0.38799504950495045
B011,6,0.20627062706270646,0.0,2,1,3,0.0990099009900991,0.2970297029702973
B012,7,36.42149929278642,39.603960396039604,5,2,0,25.577557755775576,57.34323432343234
B036,4,2.1349009900990086,0.5569306930693046,3,0,1,0.3712871287128698,2.8465346534653446
B039,10,9.405940594059405,0.0,4,4,2,-3.3003300330033025,14.851485148514856
B047,5,0.4950495049504952,0.0,1,1,3,-0.618811881188119,1.237623762376238
